GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sds2,com.sds2.classes.price,PriceRangeConverter,45,0,6,0,10,0,6,0,3,0
sds2,com.sds2.classes.response,PlaceResponse.Photo,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,PlaceResponse.DisplayName,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,HotelOfferResponse.OfferRoomTypeEstimated,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,HotelOfferResponse.OfferItem,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,CityResponse,10,0,0,0,3,0,3,0,3,0
sds2,com.sds2.classes.response,HotelResponse,10,0,0,0,3,0,3,0,3,0
sds2,com.sds2.classes.response,RouteResponse,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,CityResponse.Address,10,0,0,0,3,0,3,0,3,0
sds2,com.sds2.classes.response,HotelOfferResponse.OfferPrice,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,HotelOfferResponse.HotelOfferData,10,0,0,0,3,0,3,0,3,0
sds2,com.sds2.classes.response,TokenResponse,17,0,0,0,5,0,5,0,5,0
sds2,com.sds2.classes.response,HotelOfferResponse.OfferGuests,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,RouteResponse.RouteLeg,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,LoginResponse.LoginStatus,21,0,0,0,4,0,1,0,1,0
sds2,com.sds2.classes.response,POISResponse.POIData,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,CityResponse.CityData,31,0,0,0,9,0,9,0,9,0
sds2,com.sds2.classes.response,HotelOfferResponse,10,0,0,0,3,0,3,0,3,0
sds2,com.sds2.classes.response,POISResponse,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,RouteResponse.Polyline,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,RouteResponse.Route,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,HotelOfferResponse.OfferRoomDescription,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,HotelResponse.HotelData,38,0,0,0,11,0,11,0,11,0
sds2,com.sds2.classes.response,PlaceResponse.AddressComponent,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,HotelOfferResponse.OfferRoom,3,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.response,PhotoResponse,17,0,0,0,7,0,5,0,5,0
sds2,com.sds2.classes.response,HotelResponse.Address,24,0,0,0,7,0,7,0,7,0
sds2,com.sds2.service,HotelAvailabilityService,74,0,10,0,17,0,7,0,2,0
sds2,com.sds2.service,HotelService,485,0,68,0,119,0,50,0,16,0
sds2,com.sds2.service,UserService,166,0,14,0,45,0,16,0,9,0
sds2,com.sds2.service,PlaceService,409,48,20,0,103,1,21,1,11,1
sds2,com.sds2.service,CityService,176,0,20,0,41,0,15,0,5,0
sds2,com.sds2.service,GoogleAuthService,6,0,0,0,2,0,2,0,2,0
sds2,com.sds2.service,AmadeusAuthService,90,0,6,0,26,0,5,0,2,0
sds2,com.sds2.service,HotelOfferService,282,0,36,0,68,0,29,0,11,0
sds2,com.sds2.service,POIService,239,0,14,0,66,0,16,0,9,0
sds2,com.sds2.service,WaypointService,188,0,18,0,48,0,17,0,8,0
sds2,com.sds2.service,RoutesService,208,0,10,0,62,0,11,0,6,0
sds2,com.sds2.classes.hotel,HotelSearchContext,0,41,0,0,0,2,0,2,0,2
sds2,com.sds2.classes.hotel,HotelAddress,0,36,0,0,0,15,0,8,0,8
sds2,com.sds2.classes.hotel,HotelAvailability,12,0,0,0,1,0,1,0,1,0
sds2,com.sds2.classes.entity,POI,0,179,0,0,0,36,0,24,0,24
sds2,com.sds2.classes.entity,Hotel,4,59,0,0,1,19,1,13,1,13
sds2,com.sds2.classes.entity,Waypoint,31,0,0,0,8,0,1,0,1,0
sds2,com.sds2.classes.entity,City,0,71,0,0,0,18,0,8,0,8
sds2,com.sds2.config,RestClientConfig,7,0,0,0,2,0,2,0,2,0
sds2,com.sds2.classes.enums,HotelEnum,0,49,0,0,0,10,0,3,0,3
sds2,com.sds2.classes.enums,RouteTravelMode,33,0,0,0,6,0,1,0,1,0
sds2,com.sds2.classes.enums,GoogleBodyEnum,42,0,0,0,9,0,3,0,3,0
sds2,com.sds2.classes.enums,PoisEnum,0,70,0,0,0,13,0,3,0,3
sds2,com.sds2.classes.enums,UserStatusResponse,35,0,0,0,8,0,3,0,3,0
sds2,com.sds2.classes,Room,17,0,0,0,7,0,5,0,5,0
sds2,com.sds2.classes,Photos,10,0,0,0,4,0,3,0,3,0
sds2,com.sds2.classes,WebClientConfig,5,0,0,0,2,0,2,0,2,0
sds2,com.sds2.classes,Address,0,50,0,4,0,13,0,8,0,6
sds2,com.sds2.classes,Geometry,10,0,0,0,3,0,3,0,3,0
sds2,com.sds2.classes,Price,0,26,0,0,0,11,0,6,0,6
sds2,com.sds2,Server,44,3,2,0,13,1,2,1,1,1
sds2,com.sds2.classes.request,PlacesRequest,17,0,0,0,7,0,5,0,5,0
sds2,com.sds2.controller,RouteController,39,16,2,0,9,3,3,2,2,2
sds2,com.sds2.controller,AmadeusPageController,0,4,0,0,0,1,0,1,0,1
sds2,com.sds2.controller,UserController,359,0,30,0,93,0,28,0,13,0
sds2,com.sds2.controller,PageServer,0,5,0,0,0,2,0,2,0,2
sds2,com.sds2.controller,HotelController,65,356,32,24,17,83,29,7,1,7
sds2,com.sds2.controller,CityController,0,5,0,0,0,1,0,1,0,1
sds2,com.sds2.controller,PlacesController,122,31,8,0,26,5,6,1,2,1
sds2,com.sds2.controller,POISController,3,158,4,4,0,25,4,2,0,2
sds2,com.sds2.dto,HotelDetailsDTO,0,9,0,0,0,1,0,1,0,1
sds2,com.sds2.dto,HotelDTO,23,18,0,0,3,1,1,1,1,1
sds2,com.sds2.dto,HotelBookingResult,26,0,4,0,2,0,4,0,2,0
sds2,com.sds2.dto,PlacesDTO,113,51,22,0,12,2,13,2,2,2
sds2,com.sds2.dto,WaypointDTO,42,0,0,0,9,0,2,0,2,0
sds2,com.sds2.dto,HotelOfferDTO,21,0,0,0,1,0,1,0,1,0
sds2,com.sds2.dto,POIDTO,0,27,0,0,0,1,0,1,0,1
sds2,com.sds2.dto,OffersPreview,9,0,0,0,1,0,1,0,1,0
sds2,com.sds2.dto,UserDTO,12,0,0,0,1,0,1,0,1,0
sds2,com.sds2.dto,CityDTO,108,15,16,0,11,1,11,1,3,1
sds2,com.sds2.dto,RouteDTO,52,0,0,0,11,0,3,0,3,0
sds2,com.sds2.exception,GlobalExceptionHandler,23,3,0,0,5,1,2,1,2,1
sds2,com.sds2.classes.poi,POIInfo,0,66,0,0,0,27,0,14,0,14
sds2,com.sds2.util,DataISOFormatter,21,0,0,0,6,0,2,0,2,0
sds2,com.sds2.util,Pagination,10,80,5,5,1,15,5,6,0,6
